variable,distribution,lower   , upper ,label
n_years,const,5,5,Number of year of intervention
discount_rate,posnorm,0.5,4,Percentage to discount future cost and benefit to present value
var_CV,posnorm,2,10,Variation of variable
var_CV_high,posnorm,10,40,High variation of variable
exchange_rate,const,23240,23240,Rate of 1USD to VND
chance_inaccurate_forecast_i1,tnorm_0_1,0.2,0.3,Chance of inaccurate forecast intervention 1
chance_inaccurate_forecast_i234,tnorm_0_1,0.35,0.4,"Chance of inaccurate forecast intervention 2,3,4"
chance_inaccurate_forecast_extreme_cold_i1234,tnorm_0_1,0.2,0.25,Chance of inaccurate forecast for extreme cold risk
chance_inaccurate_forecast_extreme_drought_i1234,tnorm_0_1,0.2,0.35,Chance of inaccurate forecast for extreme drought risk
met_station_esta_i1,posnorm,695800000,765380000,Cost to establish miniweather station (VND)
met_station_main_i1,posnorm,14700000,16170000,Cost to maintain miniweather station (VND)
cost_forecasts_access_i1,posnorm,132450000,145695000,Cost to support farmers accessing weather forecast (VND)
cost_weekly_forecasts_i1234,posnorm,24000000,27000000,Cost to provide weekly weather forecast (VND)
cost_seasonal_forecasts_i1234,posnorm,24000000,27000000,Cost to provide seasonal weather forecast (VND)
cost_cb_translation_staff_i1234,posnorm,8050000,8855000,Cost for training technical working group on reading forecast and producing advisories (VND)
cb_translation_n12,const,4,4,Number of capacity building trainings in year 1 and 2 (training)
cb_translation_n345,const,2,2,Number of capacity building trainings in year 3 to 5 (training)
cost_cb_commune_i1234,posnorm,16450000,18095000,"Cost for introducing and training commune, village levels about the service (VND)"
n_communes,const,21,21,Number of communes (commune)
leftlet_year1_i1234,posnorm,5000,5500,Price of project leaflet printed (VND/leaflet)
village_meeting_launch_i1234,posnorm,10000000,11000000,Cost to launch project in each village (VND/village)
n_village,const,275,275,Total number of villages (village)
video_i1234_peryear,posnorm,46000000,50600000,"Costs to produce video about service, good practices and lessons learnt (VND/year)"
cost_print_seasonal_bulletinA0_i1234,posnorm,35000,40000,Costs to print seasonal bulletin (VND/bulletin)
n_print_per_year,const,4,4,Number of seasonal bulletin per year (bulletin)
n_per_village,const,4,4,Number of seasonal bulletin per village (bulletin)
cost_per_SMS_i123,posnorm,680,800,Cost to send one message by phone (VND)
messages_per_time_rice_i123,posnorm,2,3,Number of messages needed to send rice weekly bulletin per time (message/time)
number_times_per_year_rice_i123,posnorm,48,53,Number of times to send rice weekly bulletin per year (time)
baseline_farm_households_i1234,posnorm,18400,18440,Total farmhouseholds in the district before project intervention (household)
baseline_households_i1234,posnorm,23000,23050,Total households in the district before project intervention (household)
household_increase_rate,norm,0.02,0.05,Rate to increase households in five years (related to population increase)
messages_per_time_animal_i123,posnorm,2,3,Number of messages needed to send animal bulletin per time (message/time)
number_times_per_year_animal_i123,posnorm,12,24,Number of times to animal bulletin per year (time)
percent_animal_households_i1234,posnorm,0.3,0.4,Percentage of households having animal
commune_village_SMS_i3,const,278,278,Number of commune and village staff receiving message (person)
allowance_village_leader_permonth_loud_i34,posnorm,100000,150000,Allowance for village leader permonth to broadcast message (VND/month)
months_per_year,const,12,12,Number of months per year that have message for animal (month)
allowance_bulletin_collect_time_short_i4,const,50000,50000,Allowance for village leader permonth to collect bulletin from commune at short distance (VND/month)
times_per_month,const,4,4,Number of times that village leader need to collect bulletin from commune per month (time)
percent_short_distance_i4,posnorm,0.65,0.75,Percentage of village leaders with short distance to commune
allowance_bulletin_collect_time_long_i4,const,150000,150000,Allowance to village leaders to collect bulletin permonth to collect bulletin from commune at long distance (VND/month)
no_model_compare_i1234,const,2,2,Number of demonstration models set up per year (models/year)
model_training_i1234,posnorm,4500000,5000000,Costs to conduct training to set up models (VND/training)
n_training,const,2,2,Number of trainings for demonstration model (training/model)
percent_fertilizer_model_supporti1234,const,0.6,0.6,Percentage of cost to support fertilizers in demonstration model
plant_protection_support_i1234,const,500000,500000,Cost to support pesticide per ha (VND/ha)
model_monitor_i1234,posnorm,10000000,12000000,Cost to monitor demonstration model (VND/model)
field_visit_i1234,posnorm,60000000,66000000,Cost for field visits to models (VND/model)
SAA_TOT,posnorm,124000000,136400000,Cost fot TOT training on gender (VND)
dialogue_village,posnorm,1000000,1100000,Cost for organizing gender dialogue (VND/dialogue)
n_dialogues,const,5,5,Number of dialogues (dialogue) 
cost_community_event,posnorm,10000000,11000000,Cost for organizing community event (VND/event)
ME_district_i1234,posnorm,20000000,22000000,Cost per one ME workshop at district level per year for year 3 and year 5 (VND/workshop)
ME_commune_i1234,posnorm,20000000,22000000,Cost per one ME workshop per one commune for year for year 3 and year 5 (VND/workshop)
total_rice_area_i1234,const,9336,9336,Total planted rice area in the district for a whole year (ha/year)
rice_area_drought_i1234,posnorm,60,200,Area at risk of drought per year (ha/year)
chance_drought_i1234,tnorm_0_1,0.125,0.5,Chance of having extreme drought 
reduce_loss_drought_i1234,norm,21000000,26000000,Input costs per ha saved thanks to applying drought advisories (VND/ha)
rice_profit_no_drought,norm,8000000,12000000,Loss per ha if advices on drought is inaccurate (VND/ha)
seed_baseline_i1234,posnorm,80,140,Seeds used by farmers per ha (kg/ha)
seed_applied_i1234,posnorm,70,110,"Seeds applied after having advice (kg/ha), not all farmers reach the recommended seeds as 70-80kg/ha "
price_seed_i1234,posnorm,20000,30000,Seed price per kg (VND/kg)
labor_pick_i1234,posnorm,750000,1200000,Labor costs for weeding per ha increased due to using excess seeds (VND/ha)
rate_seed_inno_i1,posnorm,0.2,0.3,Rate of innovation farmer intervention 1 applying advisories on seed
rate_seed_imitation_i1,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 1 applying advisories on seed
rate_seed_inno_i2,posnorm,0.15,0.25,Rate of innovation farmer intervention 2 applying advisories on seed
rate_seed_imitation_i2,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 2 applying advisories on seed
rate_seed_inno_i3,posnorm,0.2,0.3,Rate of innovation farmer intervention 3 applying advisories on seed
rate_seed_imitation_i3,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 3 applying advisories on seed
rate_seed_inno_i4,posnorm,0.2,0.3,Rate of innovation farmer intervention 4 applying advisories on seed
rate_seed_imitation_i4,posnorm,0.075,0.125,Rate of farmer who imitate innovation farmers intervention 4 applying advisories on seed
rate_saturated_i12,posnorm,0.55,0.65,Saturated rate intervention i12
rate_saturated_i34,posnorm,0.7,0.75,Saturated rate intervention i34
dis_adoption_i123,norm,0.005,0.05,Annual disadoption rate intervention 123
dis_adoption_i4,norm,0.05,0.3,Annual disadoption rate intervention 4
effective_rate,posnorm,0.4,0.65,Percentage of effective application out of adopted ones
chance_resow_i1234,tnorm_0_1,0.35,0.65,Chance to resow due to climate risks
chance_resow_advice_i1234,norm,0.7,0.9,Percent of risks (natural and human made) that is possible to be addressed by advisories
resow_fer_area_percentage_i1234,norm,0.2,0.4,Average percentage of area affected (resow or refertilize) when having risk
labor_seed_fertilize_i1234,norm,500000,800000,Cost for labor to resow or refertilize per ha (VND/ha)
NPK5105f_baseline_i1234,posnorm,500,650,Dose of NPK5105 baseline used by farmers per ha (kg/ha)
NPK5105a_dose_i1234,posnorm,500,550,"Dose of NPK5105 applied per ha (kg/ha) after having advice, advice is 500kg/ha"
NPK5105_price_i1234,posnorm,9000,10000,Price of NPK5105 per kg (VND/kg)
Nf_baseline_i1234,posnorm,250,500,Dose of urea baseline used by farmers per ha (kg/ha)
Na_dose_i1234,posnorm,140,230,"Dose of urea applied per ha (kg/ha) after having advice, advice is 140kg/ha"
N_price_i1234,posnorm,10000,12000,Price of urea per kg (VND)
Kf_baseline_i1234,posnorm,5,100,Dose of kali baseline used by farmers per ha (kg/ha)
Ka_dose_i1234,const,140,140,"Dose of kali applied per ha (kg/ha) after having advice, advice is 140kg/ha"
K_price_i1234,posnorm,11000,14000,Price of kali per kg (VND)
rice_area_loss_severe_risks_i1234,posnorm,0.02,0.2,"Percentage of annual destroyed cultivating land due to severe risks, typically flash flood, hailstone"
chance_refertilize_i1234,tnorm_0_1,0.17,0.4,Chance of refertilize due to risks (climate and human made)
chance_refertilize_advice_i1234,tnorm_0_1,0.7,0.9,Percent of risks that is possible to be addressed by advisories
rate_fer_pla_inno_i1,posnorm,0.2,0.3,Rate of innovation farmer intervention 1 applying advisories on fertilizer
rate_fer_pla_immi_i1,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 1 applying advisories on fertilizer
rate_fer_pla_inno_i2,posnorm,0.15,0.25,Rate of innovation farmer intervention 2 applying advisories on fertilizer
rate_fer_pla_immi_i2,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 2 applying advisories on fertilizer
rate_fer_pla_inno_i3,posnorm,0.25,0.35,Rate of innovation farmer intervention 3 applying advisories on fertilizer
rate_fer_pla_immi_i3,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 3 applying advisories on fertilizer
rate_fer_pla_inno_i4,posnorm,0.25,0.35,Rate of innovation farmer intervention 4 applying advisories on fertilizer
rate_fer_pla_immi_i4,posnorm,0.125,0.175,Rate of farmer who imitate innovation farmers intervention 4 applying advisories on fertilizer
reduced_times_spray_i1234,norm,0.6,2.4,Number of times spraying pesticide reduced (times/year/1000m2)
reduced_cost_per_time_spray_i1234,norm,100000,150000,Reduced cost per time spray per (vnd/1000m2/time)
times_monitor_increased,norm,0,3,Increase times to go to monitor (times/years/1000m2)
cost_monitor_pest_increased,posnorm,10000,20000,Increased cost for monitoring pests per time (vnd/1000m2/time)
yield_change_i1234,norm,0.125,0.312,Yield change due to applying advisories (ton/ha)
rice_price,posnorm,7000000,10000000,Rice price per ton (VND/ton)
rate_ani_inno_i1,posnorm,0.25,0.35,Rate of innovation farmer intervention 1
rate_ani_immi_i1,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 1
rate_ani_inno_i2,posnorm,0.2,0.3,Rate of innovation farmer intervention 2
rate_ani_immi_i2,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 2
rate_ani_inno_i3,posnorm,0.25,0.35,Rate of innovation farmer intervention 3
rate_ani_immi_i3,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 3
rate_ani_inno_i4,posnorm,0.25,0.35,Rate of innovation farmer intervention 4
rate_ani_immi_i4,posnorm,0.125,0.175,Rate of farmer who imitate innovation farmers intervention 4
total_buffalo_i1234,posnorm,23267,26197,Total buffalo heads in the district (buffalo)
price_buffalo_i1234,posnorm,20000000,35000000,Price per buffalo (VND/1 buffalo)
chance_extreme_cold,tnorm_0_1,0.2,0.5,Chance having extreme cold every year
reduced_death_animal_i1,posnorm,0.005,0.01,Percentage of animal death reduced thanks to advisories intervention 1
reduced_death_animal_i2,posnorm,0.002,0.01,Percentage of animal death reduced thanks to advisories intervention 2
reduced_death_animal_i3,posnorm,0.005,0.02,Percentage of animal death reduced thanks to advisories intervention 3
reduced_death_animal_i4,posnorm,0.002,0.01,Percentage of animal death reduced thanks to advisories intervention 4
total_cow_i1234,posnorm,15187,17093,Total cow head in the district (cow)
price_cow_i1234,posnorm,15000000,25000000,Price per cow (VND/cow)
area_pond_impacted_i1234,posnorm,2,6,Pond area at risk of pesticide (thousand m2)
chance_reduced_risk_fish_death,posnorm,0.7,0.95,Chance to reduce death thanks to advisories
lost_fish_i1234,posnorm,15000000,30000000,Fish loss due to pesticide per one thousand m2 (VND/1000m2)
reduced_water_expenditure_i1234,posnorm,2000,100000,Reduced expenditure on water (VND/households)
percent_pollution_reduction_i1234,norm,0.001,0.15,Percentage of pollution reduction of advices
new_income_farm_peryear_i12,norm,10000,750000,New income from onfarm activities per year (VND/households/year)
rate_farm,posnorm,0.3,0.5,Percent of farmers who practice more on farm
new_income_nonfarm_peryear_i12,norm,10000,15000000,New income from nonfarm activities per year (VND/households/year)
rate_nonfarm,posnorm,0.15,0.25,Percent of farmers who practice more non farm
gender_coverage,posnorm,0.1,0.15,Coverage of gender activity in the community
reduced_expenditure_health_i1234,norm,10000,100000000,Reduced health expenditure (VND/household)
number_staff_i1234,posnorm,6,7,Number of staff participating in intervention (staff)
income_increased_staff_only_year2345_i1234,norm,2500000,20000000,Economic value generated due to self additional farming and (free) advisories for neighbor or relative (VND/staff)
methan_reduction_co2eq,norm,-34875,17437,Methane reduction (tonCO2eq/year) from water management and organic matter application
nito_oxide_reduction_co2eq,norm,100,1062,Nito oxide reduction (ton CO2eq/year) due to reduced use of N synthetic fertilizers
carbon_price,norm,0,3486,Carbon price per ton (VND)
